player,team,position,practice_wed,practice_thu,practice_fri,trend,injury,game_status,full_participation_final
A'Shawn Robinson,TB,DT,,DNP,,DNP_SINGLE,,,False
A.J. Haulcy,IND,S,LIMITED,FULL,FULL,ARRIVING,,,True
A.J. Terrell,ATL,CB,DNP,FULL,,ARRIVING,,,True
AJ Barner,SEA,TE,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Aaron Banks,GB,G,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Knee,Questionable,False
Aaron Donald,LAR,DE,DNP,DNP,DNP,DNP_ALL_WEEK,Not injury related - resting player,Out,False
Aidan O'Connell,LV,QB,,DNP,,DNP_SINGLE,,,False
Ajani Cornelius,DAL,T,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Akeem Davis-Gaither,IND,LB,FULL,FULL,,FULL_ALL_WEEK,,,True
Akheem Mesidor,LAC,DE,FULL,FULL,,FULL_ALL_WEEK,,,True
Alaric Jackson,LAR,T,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Alec Pierce,IND,WR,FULL,DNP,LIMITED,MIXED,,,False
Alfred Collins,SF,DT,DNP,DNP,DNP,DNP_ALL_WEEK,Knee,Out,False
Alvin Kamara,NO,RB,FULL,FULL,FULL,FULL_ALL_WEEK,Knee,Questionable,True
Andrew Billings,ARI,DT,,LIMITED,,LIMITED_SINGLE,,,False
Andrew Mukuba,PHI,S,,DNP,,DNP_SINGLE,,,False
Andrew Ogletree,IND,TE,LIMITED,FULL,FULL,ARRIVING,,,True
Andrew Thomas,NYG,T,FULL,LIMITED,FULL,MIXED,,,True
Andrew Van Ginkel,MIN,LB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Anthony Bradford,SEA,G,LIMITED,LIMITED,FULL,ARRIVING,,,True
Anthony Richardson,IND,QB,DNP,FULL,FULL,ARRIVING,,,True
Anton Harrison,JAX,T,,,DNP,DNP_SINGLE,,,False
Ashton Dulin,IND,WR,DNP,DNP,,DNP_ALL_WEEK,,,False
Ashton Gillotte,KC,DE,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Ashton Jeanty,LV,RB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Audric Estimé,NO,RB,DNP,DNP,DNP,DNP_ALL_WEEK,Thigh,Out,False
Austin Ajiake,IND,LB,LIMITED,FULL,DNP,MIXED,Hamstring,Questionable,False
B.J. Hill,CIN,DT,DNP,LIMITED,FULL,ARRIVING,,,True
Barryn Sorrell,GB,LB,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,,,False
Ben Brown,NE,C,LIMITED,LIMITED,DNP,DECLINING,Knee,Out,False
Ben Sinnott,WAS,TE,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Billy Bowman Jr.,ATL,CB,FULL,LIMITED,LIMITED,DECLINING,Achilles,Out,False
Billy Schrauth,TB,G,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Blake Cashman,MIN,LB,LIMITED,FULL,,ARRIVING,,,True
Blake Gillikin,ARI,P,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Blake Miller,DET,T,DNP,DNP,,DNP_ALL_WEEK,Knee,Out,False
Bobby Brown III,CAR,DT,DNP,DNP,FULL,ARRIVING,,,True
Bradley Chubb,BUF,LB,FULL,FULL,,FULL_ALL_WEEK,,,True
Brandon Cisse,GB,CB,FULL,FULL,,FULL_ALL_WEEK,,,True
Brandon Dorlus,ATL,DT,LIMITED,LIMITED,FULL,ARRIVING,,,True
Breece Hall,NYJ,RB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Brenen Thompson,LAC,WR,LIMITED,LIMITED,FULL,ARRIVING,,,True
